,anom
1975-01,3.438684122523412
1975-02,3.002502458445875
1975-03,2.3185516354195883
1975-04,1.498389537584604
1975-05,0.5517643174981828
1975-06,-0.424684458995948
1975-07,-1.1688939177130742
1975-08,-1.546083187231826
1975-09,-1.6868000942434414
1975-10,-1.8232028424582936
1975-11,-1.9550363450001953
1975-12,-2.1462033871694857
1976-01,-2.3756697502226487
1976-02,-2.680823591130313
1976-03,-3.21219499643302
1976-04,-3.868614086703559
1976-05,-4.352599148930423
1976-06,-4.301244415487208
1976-07,-3.7104537060822977
1976-08,-2.8365238089489573
1976-09,-1.8105853985999225
1976-10,-0.6202852994586756
1976-11,0.5849606148200976
1976-12,1.6038699470442488
1977-01,2.3525336245575517
1977-02,2.768766480177071
1977-03,2.82076942707938
1977-04,2.560640166883104
1977-05,2.1988993452444916
1977-06,1.970510588614971
1977-07,2.0379934575922967
1977-08,2.372078084382771
1977-09,2.7240844578193446
1977-10,2.943801719823629
1977-11,3.037436029590534
1977-12,3.118399758809389
1978-01,3.1895018093127625
1978-02,3.1449273639905257
1978-03,2.870157815539457
1978-04,2.373844338513873
1978-05,1.8291178338936689
1978-06,1.428049966925819
1978-07,1.2282054009350993
1978-08,1.334750020074793
1978-09,1.5990562000007493
1978-10,1.8115850737395576
1978-11,1.8837137493856488
1978-12,1.861418677322277
1979-01,1.8937031974619813
1979-02,1.7952998576514219
1979-03,1.3352017546751362
1979-04,0.4209670152505325
1979-05,-0.8034359059656069
1979-06,-1.7296716060464874
1979-07,-2.0185623282281604
1979-08,-1.7963967483372052
1979-09,-1.4122125853489145
1979-10,-1.1222178052590621
1979-11,-0.896977912461665
1979-12,-0.6037801372156899
1980-01,-0.3569916315265722
1980-02,-0.23841803422751795
1980-03,-0.34617632660258835
1980-04,-0.7481139928927689
1980-05,-1.4371319903825253
1980-06,-1.905989116873915
1980-07,-1.8932318868326306
1980-08,-1.6220795774359331
1980-09,-1.053369229161742
1980-10,-0.27858451566375564
1980-11,0.514985973033891
1980-12,1.258836336628896
1981-01,1.9488237334192355
1981-02,2.372048571234096
1981-03,2.4682864139689755
1981-04,2.2767979152327342
1981-05,1.956283712283927
1981-06,1.7439557715961769
1981-07,1.7900960733363007
1981-08,1.979083872226557
1981-09,2.2195111184985628
1981-10,2.444197588987997
1981-11,2.5802816051040764
1981-12,2.6947683412374275
1982-01,2.8332552945377536
1982-02,2.788255832728108
1982-03,2.526296989638606
1982-04,2.1053290225913557
1982-05,1.5785876837642903
1982-06,1.1398225735371739
1982-07,0.9586105350363923
1982-08,0.9171485582779724
1982-09,0.9101915197230923
1982-10,0.9535411442138049
1982-11,1.036482692193303
1982-12,1.0706016830684817
1983-01,1.0820992960948637
1983-02,0.9170074079306545
1983-03,0.4017346112284059
1983-04,-0.5868281684941721
1983-05,-1.7595552981591638
1983-06,-2.5635866376813325
1983-07,-2.750162237019495
1983-08,-2.4435322950871274
1983-09,-1.9142769523411047
1983-10,-1.4631962042649747
1983-11,-1.0610271769562019
1983-12,-0.4049148767760222
1984-01,0.47725246320027637
1984-02,1.1258968957736464
1984-03,1.4328505852198425
1984-04,1.4556134467516415
1984-05,1.3621127672168214
1984-06,1.3500325523428565
1984-07,1.5729881058687027
1984-08,1.9677512468674045
1984-09,2.35775990270578
1984-10,2.6350269201754237
1984-11,2.793747385118021
1984-12,2.9362343163208564
1985-01,2.977592319818953
1985-02,2.963577910393603
1985-03,2.7547820748751093
1985-04,2.34478117033116
1985-05,1.895233479615822
1985-06,1.594037616022188
1985-07,1.5240823035804532
1985-08,1.6329608464407812
1985-09,1.7371736759961358
1985-10,1.8205546930057999
1985-11,1.9310818629535653
1985-12,2.0174777344323473
1986-01,1.954953135843617
1986-02,1.8190838557680635
1986-03,1.4549028181695967
1986-04,0.744950907288171
1986-05,-0.20425285967351314
1986-06,-0.9659000016805201
1986-07,-1.2782218886888614
1986-08,-1.330699365295139
1986-09,-1.3058547741207214
1986-10,-1.1890198300767416
1986-11,-1.071910579689714
1986-12,-0.9677809387898542
1987-01,-0.7278523293345955
1987-02,-0.3983975950289391
1987-03,-0.4503969780881114
