,anom
1950-02-01,-3.242587469049709
1950-03-01,-4.823775361465149
1950-04-01,-7.010522003563164
1950-05-01,-9.62809527701584
1950-06-01,-11.628298328854692
1950-07-01,-11.578310626887513
1950-08-01,-9.694032099344893
1950-09-01,-5.149223179571276
1950-10-01,1.0557072014159685
1950-11-01,6.66962328285216
1950-12-01,11.290734042951632
1951-01-01,13.781591003972387
1951-02-01,14.289356340247611
1951-03-01,13.296111856651718
1951-04-01,12.436711944108852
1951-05-01,14.505557441751712
1951-06-01,18.051658716619762
1951-07-01,23.72684702906707
1951-08-01,32.912960711008395
1951-09-01,43.383717538474016
1951-10-01,51.71702198619939
1951-11-01,57.19017059397508
1951-12-01,60.26871013007435
1952-01-01,58.97457816725523
1952-02-01,56.304734350706035
1952-03-01,52.295994296876046
1952-04-01,46.50476139688662
1952-05-01,42.5335768630195
1952-06-01,39.417823730200276
1952-07-01,36.49205988947689
1952-08-01,34.55696971186998
1952-09-01,35.86225926872856
1952-10-01,38.053868843384535
1952-11-01,36.86209168448947
1952-12-01,35.276866807518594
1953-01-01,33.91219651674468
1953-02-01,31.321572225886765
1953-03-01,28.27807939065598
1953-04-01,25.696161030947636
1953-05-01,22.03056248027525
1953-06-01,18.46912612516658
1953-07-01,16.76778785656498
1953-08-01,15.711442875009736
1953-09-01,16.70138731697154
1953-10-01,19.0249023931956
1953-11-01,19.7097960130166
1953-12-01,20.01846195724962
1954-01-01,19.720241406312407
1954-02-01,20.195393457777747
1954-03-01,18.489289195081135
1954-04-01,15.13376053046679
1954-05-01,13.346317020449892
1954-06-01,13.732987045185668
1954-07-01,16.457773700455082
1954-08-01,21.21302589334256
1954-09-01,28.384730359341884
1954-10-01,35.092846337687426
1954-11-01,40.84787349895001
1954-12-01,44.20860196212735
1955-01-01,45.37881801220533
1955-02-01,44.93739433707861
1955-03-01,44.297274323374154
1955-04-01,42.2293187025377
1955-05-01,39.799691526767496
1955-06-01,37.65858075731081
1955-07-01,36.83795447651845
1955-08-01,36.83244802122574
1955-09-01,36.77156543478589
1955-10-01,38.62949610574077
1955-11-01,39.2956627810029
1955-12-01,37.710288110135416
1956-01-01,35.04311104065544
1956-02-01,34.52871354284707
1956-03-01,32.43450219519473
1956-04-01,28.7217359841982
1956-05-01,26.473415208500104
1956-06-01,24.35277737249336
1956-07-01,21.58615167293824
1956-08-01,20.64554402073628
1956-09-01,20.20577182834541
1956-10-01,20.182283481066165
1956-11-01,20.162878004270752
1956-12-01,20.722262222326275
1957-01-01,19.3449991678873
1957-02-01,17.515125648671642
1957-03-01,16.88617152893336
1957-04-01,15.88303621326588
1957-05-01,12.3913368811383
1957-06-01,10.29447691654193
1957-07-01,10.371007852802407
1957-08-01,11.188502836238378
1957-09-01,12.578398113094693
1957-10-01,16.891380973261366
1957-11-01,20.410705070849758
1957-12-01,22.93838316197231
1958-01-01,24.426495669149162
1958-02-01,23.855723157994422
1958-03-01,22.729406027897053
1958-04-01,21.270234081543165
1958-05-01,20.584093085757402
1958-06-01,21.295887558042672
1958-07-01,23.952020909601604
1958-08-01,30.461048422950103
1958-09-01,37.32770914559663
1958-10-01,42.9829628452446
1958-11-01,49.964851582115834
1958-12-01,54.74020115270966
1959-01-01,55.78415744309555
1959-02-01,54.73672378128551
1959-03-01,52.6645214769064
1959-04-01,49.561462649980676
1959-05-01,45.4352707930268
1959-06-01,41.90872803547122
1959-07-01,39.867289294534324
1959-08-01,38.23036314610468
1959-09-01,37.397940085217165
1959-10-01,37.53366246482785
1959-11-01,37.497201221497725
1959-12-01,36.51147241184603
1960-01-01,36.81579193030953
1960-02-01,35.57421852914422
1960-03-01,31.078063269581932
1960-04-01,27.341835239336184
1960-05-01,24.354517724698045
1960-06-01,20.72525348938046
1960-07-01,18.793718242182948
1960-08-01,17.573817067343253
1960-09-01,17.18852131618586
1960-10-01,17.313459291229023
1960-11-01,19.50152574160057
1960-12-01,20.750111861052265
1961-01-01,19.347261045052058
1961-02-01,17.928448407841316
1961-03-01,15.394831087112204
1961-04-01,12.57966166890509
1961-05-01,9.865454716937158
1961-06-01,8.28954133205278
1961-07-01,8.440838686808545
1961-08-01,10.277417033861605
1961-09-01,15.290738778280984
1961-10-01,20.6410863051448
1961-11-01,25.647355538064776
1961-12-01,29.38327154742422
1962-01-01,32.69866610017305
1962-02-01,33.021612861302785
1962-03-01,33.0687729049609
1962-04-01,30.78122221332728
1962-05-01,29.191106453228652
1962-06-01,28.591580822896507
1962-07-01,30.331925398892405
1962-08-01,33.987821738187016
1962-09-01,40.5951432322332
1962-10-01,47.08817428439557
1962-11-01,52.65609046938178
1962-12-01,55.67839978885422
1963-01-01,54.41735200856622
1963-02-01,54.376656498433825
1963-03-01,53.56160667762192
1963-04-01,50.726911232180676
1963-05-01,47.586500188535574
1963-06-01,44.0149896399229
1963-07-01,42.55857415258299
1963-08-01,39.76447131787151
1963-09-01,38.655014110719385
1963-10-01,38.84644939817499
1963-11-01,39.14505796847701
1963-12-01,37.516300603331096
1964-01-01,35.7444238627671
1964-02-01,33.816349176423465
1964-03-01,30.37559599417027
1964-04-01,28.505850701067594
1964-05-01,27.816294663882715
1964-06-01,25.066794306077337
1964-07-01,22.46344103878322
1964-08-01,20.456839277885283
1964-09-01,19.52661680086808
1964-10-01,19.70843857744799
1964-11-01,19.78875279637437
1964-12-01,19.80774729706133
1965-01-01,18.968904341379286
1965-02-01,17.81335951853098
1965-03-01,17.119644621493276
1965-04-01,15.268062294909567
1965-05-01,13.155385430993691
1965-06-01,11.56317756875925
1965-07-01,11.477935605687197
1965-08-01,12.779277799456736
1965-09-01,16.8769348907642
1965-10-01,20.966251212686128
1965-11-01,24.87304012933046
1965-12-01,29.275328221020597
1966-01-01,30.972945153332322
1966-02-01,30.771898916372848
1966-03-01,30.606806422948612
1966-04-01,30.510777512246342
1966-05-01,29.66115336525444
1966-06-01,29.57753226560252
1966-07-01,30.701359279524283
1966-08-01,34.45019269378934
1966-09-01,38.516343211887516
1966-10-01,43.291661231044266
1966-11-01,48.19219011664688
1966-12-01,52.439439198372924
1967-01-01,53.59346753164675
1967-02-01,52.00580571315627
1967-03-01,50.20603291406937
1967-04-01,48.6157864746074
1967-05-01,46.407436163246274
1967-06-01,42.74617865796375
1967-07-01,40.300540467676846
1967-08-01,39.330056736726384
1967-09-01,37.60512650028336
1967-10-01,36.664236766248685
1967-11-01,36.81233465801663
1967-12-01,35.6718214914283
1968-01-01,32.722221900229975
1968-02-01,31.358363883603683
1968-03-01,28.957852683908882
1968-04-01,26.06574268613747
1968-05-01,24.156253502725825
1968-06-01,22.736846655155126
1968-07-01,21.291721837118665
1968-08-01,18.37054377256969
1968-09-01,17.593991274527227
1968-10-01,18.628016841216745
1968-11-01,20.08415093063309
1968-12-01,20.886663922365
1969-01-01,20.47890376932265
1969-02-01,18.61442862417357
1969-03-01,17.600529475072094
1969-04-01,16.32638436571852
1969-05-01,14.020929376833722
1969-06-01,12.079660383385901
1969-07-01,11.584212096257803
1969-08-01,12.554286654633438
1969-09-01,13.051957279856538
1969-10-01,17.424120079818724
1969-11-01,22.795109124214882
1969-12-01,26.57459490766064
1970-01-01,28.067169381809496
1970-02-01,28.48595046523562
1970-03-01,28.42756154565376
1970-04-01,26.736397357191834
1970-05-01,25.531006033518114
1970-06-01,25.652692359211198
1970-07-01,25.96340029116826
1970-08-01,29.1863596366642
1970-09-01,34.16352407938334
1970-10-01,38.09645155777185
1970-11-01,41.863986383533025
1970-12-01,45.18290122802954
1971-01-01,46.42430751385737
1971-02-01,45.863097037447055
1971-03-01,44.108021401348566
1971-04-01,41.77273277721819
1971-05-01,40.24724167840676
1971-06-01,37.147740309014
1971-07-01,34.278383757059174
1971-08-01,32.68006509827397
1971-09-01,30.777164611973504
1971-10-01,31.669982713113257
1971-11-01,33.265623353348865
1971-12-01,33.422887518627036
1972-01-01,32.68817065350219
1972-02-01,31.04475690831988
1972-03-01,27.76583242276516
1972-04-01,24.93828194817006
1972-05-01,22.825038680138395
1972-06-01,21.58919579727719
1972-07-01,19.956886560813164
1972-08-01,18.55190398549934
1972-09-01,18.52622594329297
1972-10-01,18.186081047953383
1972-11-01,17.952388171023735
1972-12-01,18.877436756896586
1973-01-01,19.742810568516326
1973-02-01,18.783742657162097
1973-03-01,17.757286042349655
1973-04-01,16.344671155802402
1973-05-01,13.924616603222903
1973-06-01,12.463541505811143
1973-07-01,10.83487177487332
1973-08-01,11.611437884553297
1973-09-01,14.500629354728426
1973-10-01,21.128994538863004
1973-11-01,27.472211784768675
1973-12-01,30.860306020315008
1974-01-01,32.9463452883893
1974-02-01,34.99204676703987
1974-03-01,35.832306109048055
1974-04-01,34.91756544956372
1974-05-01,34.900832999934956
1974-06-01,34.64360710884029
1974-07-01,34.29775039410902
1974-08-01,35.836706313244775
1974-09-01,37.692259262520196
1974-10-01,40.70808023940158
1974-11-01,44.790397579121084
1974-12-01,46.794270569911845
1975-01-01,45.44760092727283
1975-02-01,44.39989686696246
1975-03-01,43.616569461733796
1975-04-01,41.70903601540591
1975-05-01,37.06665313735769
1975-06-01,34.33154115401604
1975-07-01,31.76026621159913
1975-08-01,29.668817297758412
1975-09-01,28.13803889448751
1975-10-01,28.23103850692115
1975-11-01,27.42912680940989
1975-12-01,27.689841823250063
1976-01-01,27.550992493160177
1976-02-01,26.299556848128404
1976-03-01,25.4350957911067
1976-04-01,23.80833077732353
1976-05-01,20.428607956006488
1976-06-01,18.17275020496138
1976-07-01,16.962683226213315
