time,anom
1955-01-01,61536017417605.09
1955-02-01,-102027384412721.69
1955-03-01,-40180794981197.41
1955-04-01,75743186057281.83
1955-05-01,11652740276482.162
1955-06-01,14022944998521.307
1955-07-01,-70430878969494.3
1955-08-01,-104499737472160.7
1955-09-01,-102778413152574.73
1955-10-01,-150589038610527.2
1955-11-01,-77574186595088.97
1955-12-01,-138731773861822.14
1956-01-01,12537665590332.646
1956-02-01,-27314329917426.668
1956-03-01,-25292714002230.934
1956-04-01,-62412441654541.53
1956-05-01,-59455387710991.38
1956-06-01,-18162047941308.21
1956-07-01,77584709286695.58
1956-08-01,1748400684725.8708
1956-09-01,-29446613076821.08
1956-10-01,-23512241796841.08
1956-11-01,-54001784357582.24
1956-12-01,39264133036988.22
1957-01-01,54171747871530.734
1957-02-01,123802021202528.02
1957-03-01,88157778835935.3
1957-04-01,44068693152172.13
1957-05-01,14189018596300.83
1957-06-01,-93997877140353.17
1957-07-01,-14792556311369.94
1957-08-01,39919272024271.92
1957-09-01,96685624257340.27
1957-10-01,149337636790680.38
1957-11-01,93239254225251.58
1957-12-01,58814472203235.41
1958-01-01,37205201785128.66
1958-02-01,21767717437957.332
1958-03-01,-23505566451680.297
1958-04-01,-29969332123994.586
1958-05-01,-2753112300374.577
1958-06-01,24753121660780.684
1958-07-01,-27132369174963.773
1958-08-01,41236923389535.64
1958-09-01,-40691230670911.336
1958-10-01,-12900652786342.82
1958-11-01,48294641574533.83
1958-12-01,183937783830238.28
1959-01-01,163126649319264.06
1959-02-01,196175308378107.2
1959-03-01,135693030727674.75
1959-04-01,64635670934285.01
1959-05-01,53878912589540.06
1959-06-01,4625099615083.029
1959-07-01,-42033705333234.914
1959-08-01,52462560161246.08
1959-09-01,30414565705180.586
1959-10-01,41663070033989.414
1959-11-01,43699261174212.195
1959-12-01,-29645288613923.71
1960-01-01,17275469720494.062
1960-02-01,-19550816376195.77
1960-03-01,33637425100887.395
1960-04-01,2300257548324.013
1960-05-01,36475770070445.31
1960-06-01,96423011212947.11
1960-07-01,70856716270929.38
1960-08-01,-75428482674763.08
1960-09-01,-18410299175309.05
1960-10-01,30849080578715.04
1960-11-01,-17573473717059.545
1960-12-01,21175904922607.41
1961-01-01,-23555151159884.586
1961-02-01,64971179094700.18
1961-03-01,-2421537771388.7334
1961-04-01,34011042635925.504
1961-05-01,-62795960575072.89
1961-06-01,23737633477248.97
1961-07-01,30425279306930.688
1961-08-01,6747714431789.887
1961-09-01,9318537548577.348
1961-10-01,36377178820652.76
1961-11-01,-400738069400.78284
1961-12-01,-23618417550049.203
1962-01-01,-94894221703389.77
1962-02-01,-107682292559798.19
1962-03-01,-25551919583443.13
1962-04-01,-120822644710944.36
1962-05-01,-27903896737133.777
1962-06-01,-1662595884933.007
1962-07-01,-23493969947724.69
1962-08-01,44292631497538.61
1962-09-01,2714298573912.0527
1962-10-01,-13645945672468.79
1962-11-01,-76515998392303.67
1962-12-01,20863723766637.84
1963-01-01,-31605234735463.523
1963-02-01,59951337441646.484
1963-03-01,81663270121469.44
1963-04-01,117485094913779.9
1963-05-01,106168529970879.14
1963-06-01,102055164743643.4
1963-07-01,147272734260445.25
1963-08-01,102948074514320.42
1963-09-01,122177141092966.16
1963-10-01,171615266527258.0
1963-11-01,188167122282618.03
1963-12-01,83763212965269.28
1964-01-01,56447685987566.91
1964-02-01,-63124213969053.414
1964-03-01,-224338286491962.62
1964-04-01,-42915518567021.09
1964-05-01,42162138901122.97
1964-06-01,37081405117408.03
1964-07-01,6367216473442.587
1964-08-01,-21923868244729.383
1964-09-01,-93256556441308.02
1964-10-01,-116304485251312.9
1964-11-01,-38323745648734.734
1964-12-01,78767021086613.12
1965-01-01,57514506886680.375
1965-02-01,189106644840769.34
1965-03-01,66287939152108.25
1965-04-01,90201379568224.22
1965-05-01,19141662681582.39
1965-06-01,6257288621690.798
1965-07-01,-2464724128693.617
1965-08-01,165793783751103.12
1965-09-01,152897123584848.44
1965-10-01,209688592445005.03
1965-11-01,167981625565724.3
1965-12-01,37238177595348.336
1966-01-01,-66696698175437.5
1966-02-01,-43261092386963.336
1966-03-01,-71309378777413.06
1966-04-01,-20098185044947.832
1966-05-01,25123321046084.363
1966-06-01,41853951596765.13
1966-07-01,-14635752425452.023
1966-08-01,-114753710650852.55
1966-09-01,-76458742914570.06
1966-10-01,-73032842450179.3
1966-11-01,-23297042534181.258
1966-12-01,-30732925068750.316
1967-01-01,-190194805194011.25
1967-02-01,-126528678656316.03
1967-03-01,-27755609993176.477
1967-04-01,100634762313335.95
1967-05-01,75626607960420.67
1967-06-01,20023625703122.797
1967-07-01,-29581881047888.09
1967-08-01,-85769292759592.88
1967-09-01,-58813913730028.125
1967-10-01,-26415031273098.355
1967-11-01,32133000670011.473
1967-12-01,46135049363679.83
1968-01-01,-45593805407361.484
1968-02-01,53200985849525.516
1968-03-01,86949041896099.33
1968-04-01,54594010555870.875
1968-05-01,101796538050357.08
1968-06-01,61897575783157.64
1968-07-01,51799123730867.2
1968-08-01,-7274235278015.453
1968-09-01,82920565029085.48
1968-10-01,122074887845304.25
1968-11-01,52417893175647.73
1968-12-01,67348903741379.56
1969-01-01,137922543035203.28
1969-02-01,147996562196507.28
1969-03-01,129734573000542.69
1969-04-01,-58179349896294.586
1969-05-01,-51292711750131.46
1969-06-01,-73922094299229.73
1969-07-01,-46627412940487.86
1969-08-01,19130818822384.375
1969-09-01,-5477687435007.552
1969-10-01,96812904846481.72
1969-11-01,31802681739435.04
1969-12-01,-40858432124313.81
1970-01-01,8246566313866.304
1970-02-01,-56804591178924.72
1970-03-01,-8524401978477.676
1970-04-01,-76560903736728.17
1970-05-01,-41780277875662.74
1970-06-01,-17138113439107.3
1970-07-01,-82704533910796.95
1970-08-01,-75128554771793.7
1970-09-01,-142132258442886.2
1970-10-01,-231258090841746.9
1970-11-01,-235320141655933.4
1970-12-01,-272181013275029.8
1971-01-01,-149702385967382.06
1971-02-01,-39855778128339.57
1971-03-01,-75584719835728.48
1971-04-01,7912913762276.463
1971-05-01,-22888498893686.81
1971-06-01,-89900846231015.98
1971-07-01,-101614178964258.42
1971-08-01,-93511809280589.77
1971-09-01,-166748181328010.12
1971-10-01,-173371693392971.16
1971-11-01,-109835207158689.23
1971-12-01,-2491797635608.581
1972-01-01,-28407974188863.902
1972-02-01,81176323454288.72
1972-03-01,102112729989019.58
1972-04-01,108837070562945.75
1972-05-01,130952718882406.84
1972-06-01,158276791728090.53
1972-07-01,127113623071153.45
1972-08-01,195461934502152.1
1972-09-01,278730480067405.5
1972-10-01,304287313409357.8
1972-11-01,84142825588123.84
1972-12-01,36178524431634.664
1973-01-01,-6840218165202.532
1973-02-01,-51838438702646.56
1973-03-01,-156493891435023.8
1973-04-01,-244936443764372.88
1973-05-01,-155633178711103.75
1973-06-01,-64647784919308.88
1973-07-01,-78493628421771.03
1973-08-01,-212141455437297.53
1973-09-01,-218345128859273.22
1973-10-01,-228886474118368.28
1973-11-01,-131974505573298.75
1973-12-01,-124962810141518.6
1974-01-01,-103920906198541.52
1974-02-01,-65372569030390.18
1974-03-01,-63659365540693.8
1974-04-01,-18527564660211.324
1974-05-01,-4473502173480.158
1974-06-01,-73508911144623.64
1974-07-01,-107236592312617.53
1974-08-01,-201193644868187.47
1974-09-01,-127770012362243.06
1974-10-01,-142162411794610.94
1974-11-01,-42960728455486.41
